"race","state","modeldate","candidate_name","pct_estimate","pct_trend_adjusted","timestamp","contestdate"
"2020D","National","2/10/2020","Tulsi Gabbard",1.496852,NA,"22:28:04 10 Feb 2020",""
"2020D","National","2/10/2020","Andrew Yang",3.864444,NA,"22:28:04 10 Feb 2020",""
"2020D","National","2/10/2020","Tom Steyer",1.986823,NA,"22:28:04 10 Feb 2020",""
"2020D","National","2/10/2020","Deval Patrick",0.3671547,NA,"22:28:04 10 Feb 2020",""
"2020D","National","2/10/2020","Amy Klobuchar",3.72296,NA,"22:28:04 10 Feb 2020",""
"2020D","National","2/10/2020","Michael Bloomberg",12.71089,NA,"22:28:04 10 Feb 2020",""
"2020D","National","2/10/2020","Elizabeth Warren",13.34033,NA,"22:28:04 10 Feb 2020",""
"2020D","National","2/10/2020","Bernard Sanders",21.95471,NA,"22:28:04 10 Feb 2020",""
"2020D","National","2/10/2020","Joseph R. Biden Jr.",21.57924,NA,"22:28:04 10 Feb 2020",""
"2020D","National","2/9/2020","Michael F. Bennet",0.658383,NA,"23:04:04  9 Feb 2020",""
"2020D","National","2/9/2020","Pete Buttigieg",8.359237,NA,"23:04:04  9 Feb 2020",""
"2020D","National","2/9/2020","Tulsi Gabbard",2.035026,NA,"23:04:04  9 Feb 2020",""
"2020D","National","2/9/2020","Andrew Yang",4.185293,NA,"23:04:04  9 Feb 2020",""
"2020D","National","2/9/2020","Tom Steyer",2.225185,NA,"23:04:04  9 Feb 2020",""
"2020D","National","2/9/2020","Deval Patrick",0.2877221,NA,"23:04:04  9 Feb 2020",""
"2020D","National","2/9/2020","Amy Klobuchar",3.764751,NA,"23:04:04  9 Feb 2020",""
"2020D","National","2/9/2020","Michael Bloomberg",11.18758,NA,"23:04:04  9 Feb 2020",""
"2020D","National","2/9/2020","Elizabeth Warren",13.28344,NA,"23:04:04  9 Feb 2020",""
"2020D","National","2/9/2020","Bernard Sanders",21.35755,NA,"23:04:04  9 Feb 2020",""
"2020D","National","2/9/2020","Joseph R. Biden Jr.",24.27407,NA,"23:04:04  9 Feb 2020",""
"2020D","National","2/8/2020","Michael F. Bennet",0.6529397,NA,"23:04:05  8 Feb 2020",""
"2020D","National","2/8/2020","Pete Buttigieg",8.368559,NA,"23:04:05  8 Feb 2020",""
"2020D","National","2/8/2020","Tulsi Gabbard",2.026808,NA,"23:04:05  8 Feb 2020",""
"2020D","National","2/8/2020","Andrew Yang",4.175399,NA,"23:04:05  8 Feb 2020",""
"2020D","National","2/8/2020","Tom Steyer",2.219881,NA,"23:04:05  8 Feb 2020",""
"2020D","National","2/8/2020","Deval Patrick",0.2995913,NA,"23:04:05  8 Feb 2020",""
"2020D","National","2/8/2020","Amy Klobuchar",3.77087,NA,"23:04:05  8 Feb 2020",""
"2020D","National","2/8/2020","Michael Bloomberg",11.19273,NA,"23:04:05  8 Feb 2020",""
"2020D","National","2/8/2020","Elizabeth Warren",13.28224,NA,"23:04:05  8 Feb 2020",""
"2020D","National","2/8/2020","Bernard Sanders",21.37485,NA,"23:04:05  8 Feb 2020",""
"2020D","National","2/8/2020","Joseph R. Biden Jr.",24.26793,NA,"23:04:05  8 Feb 2020",""
"2020D","National","2/7/2020","Michael F. Bennet",0.653772,NA,"23:03:04  7 Feb 2020",""
"2020D","National","2/7/2020","Pete Buttigieg",8.373781,NA,"23:03:04  7 Feb 2020",""
"2020D","National","2/7/2020","Tulsi Gabbard",2.022402,NA,"23:03:04  7 Feb 2020",""
"2020D","National","2/7/2020","Andrew Yang",4.174042,NA,"23:03:04  7 Feb 2020",""
"2020D","National","2/7/2020","Tom Steyer",2.220774,NA,"23:03:04  7 Feb 2020",""
"2020D","National","2/7/2020","Deval Patrick",0.3008846,NA,"23:03:04  7 Feb 2020",""
"2020D","National","2/7/2020","Amy Klobuchar",3.777914,NA,"23:03:04  7 Feb 2020",""
"2020D","National","2/7/2020","Michael Bloomberg",11.18166,NA,"23:03:04  7 Feb 2020",""
"2020D","National","2/7/2020","Elizabeth Warren",13.28394,NA,"23:03:04  7 Feb 2020",""
"2020D","National","2/7/2020","Bernard Sanders",21.37582,NA,"23:03:04  7 Feb 2020",""
"2020D","National","2/7/2020","Joseph R. Biden Jr.",24.26271,NA,"23:03:04  7 Feb 2020",""
"2020D","National","2/6/2020","Michael F. Bennet",0.6514459,NA,"20:56:55  6 Feb 2020",""
"2020D","National","2/6/2020","Pete Buttigieg",8.359316,NA,"20:56:55  6 Feb 2020",""
"2020D","National","2/6/2020","Tulsi Gabbard",2.030818,NA,"20:56:55  6 Feb 2020",""
"2020D","National","2/6/2020","Andrew Yang",4.168553,NA,"20:56:55  6 Feb 2020",""
"2020D","National","2/6/2020","Tom Steyer",2.219085,NA,"20:56:55  6 Feb 2020",""
"2020D","National","2/6/2020","Deval Patrick",0.2993808,NA,"20:56:55  6 Feb 2020",""
"2020D","National","2/6/2020","Amy Klobuchar",3.779541,NA,"20:56:55  6 Feb 2020",""
"2020D","National","2/6/2020","Michael Bloomberg",11.18166,NA,"20:56:55  6 Feb 2020",""
"2020D","National","2/6/2020","Elizabeth Warren",13.27208,NA,"20:56:55  6 Feb 2020",""
"2020D","National","2/6/2020","Bernard Sanders",21.37746,NA,"20:56:55  6 Feb 2020",""
