"Candidate","Total_Absolute_Sentiment","Percent_Sentiment","Total_Sentiment","Count_Tweets","Percent_Tweets","Average_Sentiment","Average_Absolute_Sentiment","Date"
"warren",757.492287607115,0.126851352124053,176.789880087777,2451,0.127351137898784,0.0721296940382606,0.309054380908656,"2/05/2020"
"yang",563.580775627778,0.0943784967703672,242.417620698041,1753,0.0910838615816273,0.138287290757582,0.321495023176143,"2/05/2020"
"biden",996.80365975181,0.145373335898781,182.299951830098,2989,0.13966637073034,0.0609902816427228,0.333490685765075,"2/06/2020"
"bloomberg",432.273825522481,0.0630425936172598,92.2868577175755,1515,0.0707910845287603,0.0609154176353633,0.285329257770615,"2/06/2020"
"buttigieg",1407.7499414321,0.205305531430585,557.00210573316,4329,0.20228026727723,0.128667615091975,0.325190561661377,"2/06/2020"
"klobuchar",153.000724103619,0.0223135473473383,60.9812692217758,513,0.0239708424839961,0.118871869828023,0.298247025543117,"2/06/2020"
"sanders",1670.34886899845,0.243602824714267,595.350519269608,5504,0.257184243726929,0.10816688213474,0.303479082303497,"2/06/2020"
"steyer",154.303510143387,0.0225035449970365,71.7424437362341,519,0.024251203214803,0.138232068855942,0.297309268099011,"2/06/2020"
"warren",874.801692250422,0.127580631359246,378.457601541287,2662,0.12438671090136,0.142170398775841,0.328625729620744,"2/06/2020"
"yang",1167.57122749675,0.170277990635487,751.866964791473,3370,0.157469277136582,0.223105924270467,0.346460304895179,"2/06/2020"
"biden",666.518501969151,0.0974564902887786,89.5700239242953,2551,0.115865013398737,0.0351117302721659,0.261277342990651,"2/07/2020"
"bloomberg",563.504899047896,0.0823941264338409,140.07542119126,2079,0.0944270336558114,0.0673763449693412,0.271046127488166,"2/07/2020"
"buttigieg",1995.80541588403,0.291821143084182,950.430203282781,5862,0.266248807739474,0.162134118608458,0.340464929355857,"2/07/2020"
"klobuchar",308.475112398144,0.0451043770082035,145.922750798365,967,0.0439206068038334,0.150902534434711,0.319002184486188,"2/07/2020"
"sanders",1595.55359308983,0.233297429539895,535.310989252341,5246,0.238270427397011,0.102041744043527,0.304146700932106,"2/07/2020"
"steyer",102.755108500652,0.0150245675163263,31.4118626895646,387,0.0175773266112549,0.081167603849004,0.265517076229075,"2/07/2020"
"warren",954.056474596143,0.139499496678231,318.106945028527,2861,0.129945042467184,0.111187327867364,0.333469582172717,"2/07/2020"
"yang",652.470083645157,0.0954023694505421,384.062301397469,2064,0.093745741926693,0.186076696413502,0.316119226572266,"2/07/2020"
